# Table nutritionnelle pour 100 g (ou 100 ml pour les liquides) — partie comestible.
# Valeurs INDICATIVES, ordre de grandeur type ANSES/CIQUAL. Elles varient selon variété,
# saison, cuisson et marque. Ne pas utiliser à des fins médicales.
# Pour les ingrédients cuisinés à l'eau (riz, pâtes, légumineuses), valeurs "cuit/égoutté"
# sauf mention "cru". Enrichir ce fichier = brancher de nouveaux ingrédients à tous les skills.
# Colonnes (unités) : kcal | proteines_g | glucides_g | sucres_g | lipides_g | satures_g |
#   fibres_g | sodium_mg | calcium_mg | fer_mg | magnesium_mg | potassium_mg | zinc_mg |
#   vit_c_mg | vit_d_ug | vit_b9_ug | vit_a_ug
ingredient,kcal,proteines_g,glucides_g,sucres_g,lipides_g,satures_g,fibres_g,sodium_mg,calcium_mg,fer_mg,magnesium_mg,potassium_mg,zinc_mg,vit_c_mg,vit_d_ug,vit_b9_ug,vit_a_ug
eau,0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0.00,1,0,0.00,0.0,0.0,0,0
oignon,38,1.2,7.0,5.0,0.2,0.0,1.7,4,23,0.21,9,150,0.17,7.0,0.0,29,1
échalote,72,2.5,16.8,7.9,0.1,0.0,3.2,12,37,1.20,21,334,0.40,8.0,0.0,34,0
ail,143,6.4,28.0,1.0,0.5,0.1,4.7,17,18,1.70,25,400,1.16,15.0,0.0,3,0
tomate,18,0.9,3.5,2.6,0.2,0.0,1.2,5,10,0.27,11,237,0.17,14.0,0.0,15,42
tomate concassée,32,1.6,4.8,3.6,0.3,0.0,1.4,9,32,1.50,15,290,0.20,9.0,0.0,12,38
concentré de tomate,82,4.3,14.0,12.2,0.5,0.1,2.8,59,36,2.90,42,1014,0.63,21.0,0.0,30,75
courgette,17,1.2,2.1,1.7,0.3,0.1,1.1,8,16,0.37,18,261,0.29,17.0,0.0,24,10
poivron rouge,31,1.0,4.7,4.2,0.3,0.0,2.1,4,7,0.43,12,211,0.25,128.0,0.0,46,157
carotte,36,0.8,6.7,4.9,0.2,0.0,2.8,58,30,0.30,11,280,0.24,5.0,0.0,19,835
pomme de terre,77,2.0,15.4,0.8,0.1,0.0,1.8,6,9,0.78,21,418,0.30,13.0,0.0,16,0
potimarron,38,1.4,7.6,2.2,0.4,0.1,2.5,2,30,0.70,18,340,0.30,15.0,0.0,24,170
épinard,23,2.7,1.4,0.4,0.4,0.1,2.7,65,99,2.70,79,558,0.53,28.0,0.0,194,469
salade verte,15,1.2,1.5,0.7,0.2,0.0,1.3,10,35,0.90,11,240,0.20,9.0,0.0,73,166
champignon de Paris,22,3.1,1.0,1.0,0.3,0.0,1.6,6,4,0.50,9,318,0.52,2.0,0.2,25,0
petits pois,81,5.4,10.1,5.7,0.4,0.1,5.1,5,25,1.50,33,244,1.24,40.0,0.0,65,38
pois chiches,139,8.9,18.0,0.0,2.6,0.3,7.6,7,49,2.20,48,290,1.50,1.3,0.0,54,1
lentilles vertes,116,9.0,16.5,0.5,0.4,0.1,7.9,2,19,3.30,36,369,1.30,1.5,0.0,181,1
haricots rouges,127,8.7,16.0,0.3,0.5,0.1,7.4,2,57,2.90,46,403,1.10,1.5,0.0,130,0
riz blanc cuit,130,2.7,28.0,0.1,0.3,0.1,0.4,1,10,0.20,12,35,0.49,0.0,0.0,3,0
riz basmati cru,349,7.5,78.0,0.3,0.9,0.2,1.3,2,10,0.80,25,115,1.10,0.0,0.0,9,0
pâtes cuites,158,5.8,30.9,0.6,0.9,0.2,1.8,3,7,0.50,18,44,0.55,0.0,0.0,7,0
flocons d'avoine,372,13.0,60.0,1.0,7.0,1.2,9.5,4,52,3.80,138,358,3.10,0.0,0.0,32,0
farine de blé,341,10.0,71.0,1.2,1.1,0.2,3.4,2,18,1.20,25,120,0.70,0.0,0.0,28,0
pain,255,8.5,49.0,2.5,1.5,0.3,3.0,490,90,1.50,30,120,0.90,0.0,0.0,30,0
semoule de blé,360,12.0,73.0,0.8,1.0,0.2,3.5,1,17,1.20,47,186,1.05,0.0,0.0,38,0
blanc de poulet,121,23.0,0.0,0.0,2.5,0.7,0.0,60,9,0.50,29,330,0.80,0.0,0.1,9,9
cuisse de poulet,177,19.0,0.0,0.0,11.0,3.0,0.0,86,11,0.90,23,230,1.80,0.0,0.2,7,18
boeuf haché 5%,137,21.5,0.0,0.0,5.0,2.3,0.0,68,7,2.60,22,330,4.50,0.0,0.1,8,0
